results: ,"[{'id': 'POJ/48/149.txt', 'distance': 1.000000238418579, 'entity': {}}, {'id': 'POJ/48/1057.txt', 'distance': 1.000000238418579, 'entity': {}}, {'id': 'POJ/18/956.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/59/635.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/42/193.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'POJ/96/803.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'POJ/19/2385.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'POJ/83/1027.txt', 'distance': 0.9839556217193604, 'entity': {}}, {'id': 'POJ/41/1204.txt', 'distance': 0.9839556217193604, 'entity': {}}, {'id': 'POJ/92/1411.txt', 'distance': 0.9774169921875, 'entity': {}}]"
 
file: ,POJ/59/735.txt
results: ,"[{'id': 'POJ/71/2170.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'POJ/64/1228.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'POJ/97/833.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'POJ/2/389.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/59/735.txt', 'distance': 1.0000003576278687, 'entity': {}}, {'id': 'POJ/27/407.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'POJ/72/2084.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'POJ/96/677.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'POJ/48/1108.txt', 'distance': 0.9803168177604675, 'entity': {}}, {'id': 'POJ/95/912.txt', 'distance': 0.9643933773040771, 'entity': {}}]"
 
file: ,POJ/92/671.txt
results: ,"[{'id': 'POJ/19/1027.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1009.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/434.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1144.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1882.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1459.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1295.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/51/1002.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1449.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/72/2265.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/92/1434.txt
results: ,"[{'id': 'POJ/21/469.txt', 'distance': 0.7255924344062805, 'entity': {}}, {'id': 'POJ/76/1144.txt', 'distance': 0.7241856455802917, 'entity': {}}, {'id': 'POJ/92/1105.txt', 'distance': 0.7232671976089478, 'entity': {}}, {'id': 'POJ/92/1394.txt', 'distance': 0.7175160050392151, 'entity': {}}, {'id': 'POJ/21/2091.txt', 'distance': 0.7152757048606873, 'entity': {}}, {'id': 'POJ/76/890.txt', 'distance': 0.7144871354103088, 'entity': {}}, {'id': 'POJ/21/238.txt', 'distance': 0.7144113183021545, 'entity': {}}, {'id': 'POJ/21/1374.txt', 'distance': 0.7134102582931519, 'entity': {}}, {'id': 'POJ/21/62.txt', 'distance': 0.7127823829650879, 'entity': {}}, {'id': 'POJ/76/672.txt', 'distance': 0.7118666768074036, 'entity': {}}]"
 
file: ,POJ/92/1145.txt
results: ,"[{'id': 'POJ/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,POJ/92/764.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/92/1025.txt
results: ,"[{'id': 'POJ/8/308.txt', 'distance': 0.6973922848701477, 'entity': {}}, {'id': 'POJ/8/814.txt', 'distance': 0.6916887164115906, 'entity': {}}, {'id': 'POJ/8/872.txt', 'distance': 0.6877888441085815, 'entity': {}}, {'id': 'POJ/8/663.txt', 'distance': 0.6860901713371277, 'entity': {}}, {'id': 'POJ/76/557.txt', 'distance': 0.6842222809791565, 'entity': {}}, {'id': 'POJ/8/677.txt', 'distance': 0.6825041174888611, 'entity': {}}, {'id': 'POJ/42/1552.txt', 'distance': 0.6775227189064026, 'entity': {}}, {'id': 'POJ/8/773.txt', 'distance': 0.6765668988227844, 'entity': {}}, {'id': 'POJ/76/1814.txt', 'distance': 0.669890284538269, 'entity': {}}, {'id': 'POJ/8/166.txt', 'distance': 0.6684284210205078, 'entity': {}}]"
 
file: ,POJ/92/1156.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/92/383.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/92/422.txt
results: ,"[{'id': 'POJ/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,POJ/92/807.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/92/1111.txt
results: ,"[{'id': 'POJ/2/1256.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/64/1076.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/64/816.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/92/1111.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/32/2352.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/18/1653.txt', 'distance': 0.9881470203399658, 'entity': {}}, {'id': 'POJ/66/637.txt', 'distance': 0.9881470203399658, 'entity': {}}, {'id': 'POJ/79/1822.txt', 'distance': 0.988146960735321, 'entity': {}}, {'id': 'POJ/41/1018.txt', 'distance': 0.9741036295890808, 'entity': {}}, {'id': 'POJ/18/1009.txt', 'distance': 0.9728193879127502, 'entity': {}}]"
 
file: ,POJ/92/490.txt
results: ,"[{'id': 'POJ/19/1027.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1009.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/434.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1144.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1882.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1459.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1295.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/51/1002.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1449.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/72/2265.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/66/343.txt
results: ,"[{'id': 'POJ/2/72.txt', 'distance': 1.000000238418579, 'entity': {}}, {'id': 'POJ/66/343.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/74/1353.txt', 'distance': 0.9176809787750244, 'entity': {}}, {'id': 'POJ/59/298.txt', 'distance': 0.8650181293487549, 'entity': {}}, {'id': 'POJ/101/11.txt', 'distance': 0.8336421847343445, 'entity': {}}, {'id': 'POJ/95/912.txt', 'distance': 0.8289900422096252, 'entity': {}}, {'id': 'POJ/55/218.txt', 'distance': 0.8286508917808533, 'entity': {}}, {'id': 'POJ/71/1308.txt', 'distance': 0.8244636058807373, 'entity': {}}, {'id': 'POJ/48/1108.txt', 'distance': 0.8228458166122437, 'entity': {}}, {'id': 'POJ/27/407.txt', 'distance': 0.8228455185890198, 'entity': {}}]"
 
file: ,POJ/104/517.txt
results: ,"[{'id': 'POJ/83/672.txt', 'distance': 0.6872629523277283, 'entity': {}}, {'id': 'POJ/64/3452.txt', 'distance': 0.6656287312507629, 'entity': {}}, {'id': 'POJ/83/3680.txt', 'distance': 0.5868698954582214, 'entity': {}}, {'id': 'POJ/78/371.txt', 'distance': 0.5797132253646851, 'entity': {}}, {'id': 'POJ/83/1606.txt', 'distance': 0.5736373662948608, 'entity': {}}, {'id': 'POJ/104/1507.txt', 'distance': 0.5715201497077942, 'entity': {}}, {'id': 'POJ/64/666.txt', 'distance': 0.5692421793937683, 'entity': {}}, {'id': 'POJ/14/717.txt', 'distance': 0.5642825365066528, 'entity': {}}, {'id': 'POJ/83/5669.txt', 'distance': 0.5637010931968689, 'entity': {}}, {'id': 'POJ/64/1120.txt', 'distance': 0.5636136531829834, 'entity': {}}]"
 
file: ,POJ/104/607.txt
results: ,"[{'id': 'POJ/19/1027.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1009.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/434.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/69/1144.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1882.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1459.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1295.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/51/1002.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/18/1449.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/72/2265.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/104/961.txt
results: ,"[{'id': 'POJ/8/102.txt', 'distance': 0.7348048686981201, 'entity': {}}, {'id': 'POJ/8/1413.txt', 'distance': 0.7276133894920349, 'entity': {}}, {'id': 'POJ/8/318.txt', 'distance': 0.724831223487854, 'entity': {}}, {'id': 'POJ/10/2284.txt', 'distance': 0.723974883556366, 'entity': {}}, {'id': 'POJ/8/475.txt', 'distance': 0.7237746119499207, 'entity': {}}, {'id': 'POJ/8/1230.txt', 'distance': 0.723723292350769, 'entity': {}}, {'id': 'POJ/76/1814.txt', 'distance': 0.7204667329788208, 'entity': {}}, {'id': 'POJ/8/640.txt', 'distance': 0.7193020582199097, 'entity': {}}, {'id': 'POJ/76/28.txt', 'distance': 0.7176099419593811, 'entity': {}}, {'id': 'POJ/8/1202.txt', 'distance': 0.7141328454017639, 'entity': {}}]"
 
file: ,POJ/50/292.txt
results: ,"[{'id': 'POJ/93/1119.txt', 'distance': 0.7648552060127258, 'entity': {}}, {'id': 'POJ/93/2226.txt', 'distance': 0.7639093399047852, 'entity': {}}, {'id': 'POJ/93/293.txt', 'distance': 0.7569056749343872, 'entity': {}}, {'id': 'POJ/93/1773.txt', 'distance': 0.745474100112915, 'entity': {}}, {'id': 'POJ/93/2065.txt', 'distance': 0.7433872818946838, 'entity': {}}, {'id': 'POJ/93/139.txt', 'distance': 0.7411695718765259, 'entity': {}}, {'id': 'POJ/93/2290.txt', 'distance': 0.7402879595756531, 'entity': {}}, {'id': 'POJ/93/113.txt', 'distance': 0.7401919364929199, 'entity': {}}, {'id': 'POJ/93/858.txt', 'distance': 0.7396827340126038, 'entity': {}}, {'id': 'POJ/93/227.txt', 'distance': 0.7373389005661011, 'entity': {}}]"
 
file: ,POJ/50/1471.txt
results: ,"[{'id': 'POJ/10/622.txt', 'distance': 0.7837579846382141, 'entity': {}}, {'id': 'POJ/71/200.txt', 'distance': 0.7444518804550171, 'entity': {}}, {'id': 'POJ/2/81.txt', 'distance': 0.7433333396911621, 'entity': {}}, {'id': 'POJ/10/952.txt', 'distance': 0.7397502064704895, 'entity': {}}, {'id': 'POJ/73/1004.txt', 'distance': 0.7382574081420898, 'entity': {}}, {'id': 'POJ/10/345.txt', 'distance': 0.7369058132171631, 'entity': {}}, {'id': 'POJ/10/2139.txt', 'distance': 0.7346816658973694, 'entity': {}}, {'id': 'POJ/10/2253.txt', 'distance': 0.7342758178710938, 'entity': {}}, {'id': 'POJ/71/946.txt', 'distance': 0.7325693964958191, 'entity': {}}, {'id': 'POJ/10/842.txt', 'distance': 0.7320214509963989, 'entity': {}}]"
 
file: ,POJ/57/2139.txt
results: ,"[{'id': 'POJ/77/592.txt', 'distance': 0.8418813943862915, 'entity': {}}, {'id': 'POJ/77/622.txt', 'distance': 0.808657169342041, 'entity': {}}, {'id': 'POJ/49/1276.txt', 'distance': 0.800752580165863, 'entity': {}}, {'id': 'POJ/49/416.txt', 'distance': 0.7978646159172058, 'entity': {}}, {'id': 'POJ/49/890.txt', 'distance': 0.7925397157669067, 'entity': {}}, {'id': 'POJ/49/434.txt', 'distance': 0.7843447327613831, 'entity': {}}, {'id': 'POJ/49/516.txt', 'distance': 0.7831511497497559, 'entity': {}}, {'id': 'POJ/7/145.txt', 'distance': 0.7733224034309387, 'entity': {}}, {'id': 'POJ/77/1334.txt', 'distance': 0.7731984853744507, 'entity': {}}, {'id': 'POJ/49/1110.txt', 'distance': 0.7712173461914062, 'entity': {}}]"
 
file: ,POJ/32/1174.txt
results: ,"[{'id': 'POJ/32/1381.txt', 'distance': 0.7459198832511902, 'entity': {}}, {'id': 'POJ/32/2467.txt', 'distance': 0.7386111617088318, 'entity': {}}, {'id': 'POJ/32/2201.txt', 'distance': 0.7346041202545166, 'entity': {}}, {'id': 'POJ/32/2114.txt', 'distance': 0.7326503992080688, 'entity': {}}, {'id': 'POJ/32/2477.txt', 'distance': 0.732413113117218, 'entity': {}}, {'id': 'POJ/32/938.txt', 'distance': 0.7312043309211731, 'entity': {}}, {'id': 'POJ/32/2132.txt', 'distance': 0.7284075021743774, 'entity': {}}, {'id': 'POJ/32/1279.txt', 'distance': 0.726287841796875, 'entity': {}}, {'id': 'POJ/32/2442.txt', 'distance': 0.7249526977539062, 'entity': {}}, {'id': 'POJ/32/544.txt', 'distance': 0.7234252095222473, 'entity': {}}]"
 
file: ,POJ/32/2352.txt
results: ,"[{'id': 'POJ/2/1256.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/64/1076.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/64/816.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'POJ/92/1111.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/32/2352.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/18/1653.txt', 'distance': 0.9881470203399658, 'entity': {}}, {'id': 'POJ/66/637.txt', 'distance': 0.9881470203399658, 'entity': {}}, {'id': 'POJ/79/1822.txt', 'distance': 0.988146960735321, 'entity': {}}, {'id': 'POJ/41/1018.txt', 'distance': 0.9741036295890808, 'entity': {}}, {'id': 'POJ/18/1009.txt', 'distance': 0.9728193879127502, 'entity': {}}]"
 
file: ,POJ/35/899.txt
results: ,"[{'id': 'POJ/35/1901.txt', 'distance': 0.8403793573379517, 'entity': {}}, {'id': 'POJ/35/115.txt', 'distance': 0.8297637701034546, 'entity': {}}, {'id': 'POJ/35/739.txt', 'distance': 0.8252336978912354, 'entity': {}}, {'id': 'POJ/35/182.txt', 'distance': 0.8145512342453003, 'entity': {}}, {'id': 'POJ/35/310.txt', 'distance': 0.8145245909690857, 'entity': {}}, {'id': 'POJ/35/437.txt', 'distance': 0.8134278059005737, 'entity': {}}, {'id': 'POJ/35/1378.txt', 'distance': 0.8124416470527649, 'entity': {}}, {'id': 'POJ/35/905.txt', 'distance': 0.8115463852882385, 'entity': {}}, {'id': 'POJ/73/2224.txt', 'distance': 0.8113261461257935, 'entity': {}}, {'id': 'POJ/35/1144.txt', 'distance': 0.8108775615692139, 'entity': {}}]"
 
file: ,POJ/102/378.txt
results: ,"[{'id': 'POJ/48/1707.txt', 'distance': 0.9753720760345459, 'entity': {}}, {'id': 'POJ/55/876.txt', 'distance': 0.7141608595848083, 'entity': {}}, {'id': 'POJ/85/77.txt', 'distance': 0.6506174802780151, 'entity': {}}, {'id': 'POJ/64/2725.txt', 'distance': 0.6325819492340088, 'entity': {}}, {'id': 'POJ/55/86.txt', 'distance': 0.6305981874465942, 'entity': {}}, {'id': 'POJ/48/1280.txt', 'distance': 0.6217100620269775, 'entity': {}}, {'id': 'POJ/55/36.txt', 'distance': 0.620175838470459, 'entity': {}}, {'id': 'POJ/78/1049.txt', 'distance': 0.5972126126289368, 'entity': {}}, {'id': 'POJ/39/1426.txt', 'distance': 0.5967214107513428, 'entity': {}}, {'id': 'POJ/78/1682.txt', 'distance': 0.5837143659591675, 'entity': {}}]"
 
file: ,POJ/102/146.txt
results: ,"[{'id': 'POJ/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,POJ/69/1057.txt
